id_tarjeta,modo,lat,lon,sexo,interno_bus,tipo_trx_tren,etapa_redsube,idlinea,idtarifa,hora
2039336094,COL,-34.782,-58.304,,1965,,0,128,1,12
2039336094,COL,-34.742,-58.348,F,1516,,0,230,1,13
2039336094,COL,-34.744,-58.396,F,1965,,0,230,1,15
2039336095,COL,-34.74,-58.318,F,4149,,0,114,1,15
2039336095,COL,-34.762,-58.402,F,2442,,1,270,1,16
2039336095,COL,-34.76,-58.394,F,1844,,0,114,1,17
2039336103,COL,-34.486,-58.748,F,749,,0,336,2,8
2039336103,COL,-34.488,-58.736,F,4562,,0,336,2,20
2039336120,COL,-34.686,-58.34,,710,,0,41,1,9
2039336120,COL,-34.604,-58.37,,4421,,0,70,1,18
2039336120,COL,-34.662,-58.368,,3154,,1,90,1,20
2039336125,SUB,-34.612,-58.422,,,,0,32,1,7
2039336125,COL,-34.628,-58.38,,354,,1,143,1,8
2039336125,COL,-34.642,-58.37,,3528,,0,50,1,10
2039336125,SUB,-34.628,-58.382,,,,1,269,1,11
2039336125,SUB,-34.604,-58.42,,,,0,33,1,15
2039336125,TRE,-34.592,-58.474,,,CHECK OUT,1,149,1,15
2039336125,TRE,-34.586,-58.456,,,CHECK IN,1,149,1,15
2039336125,TRE,-34.592,-58.474,,,CHECK IN,0,149,1,17
2039336125,SUB,-34.588,-58.456,,,,1,33,1,17
2039336125,TRE,-34.586,-58.456,,,CHECK OUT,0,149,1,17
2039336125,SUB,-34.61,-58.374,,,,0,148,1,20
2039336125,COL,-34.626,-58.392,,1884,,0,207,1,22
2039336175,COL,-34.588,-58.414,F,744,,0,56,3,17
2039336175,COL,-34.568,-58.456,F,2349,,1,177,3,18
2039336175,COL,-34.538,-58.476,F,4775,,0,177,3,20
2039336182,COL,-34.718,-58.332,,1011,,0,96,1,8
2039336182,COL,-34.584,-58.39,,1441,,0,96,1,20
2039336192,COL,-34.65,-58.502,F,2302,,0,118,4,12
2039336192,COL,-34.624,-58.414,F,772,,0,101,4,13
2039336195,TRE,-34.65,-58.79,M,,CHECK IN,1,144,1,4
2039336195,TRE,-34.648,-58.618,M,,CHECK OUT,1,144,1,5
2039336195,COL,-34.644,-58.622,M,4410,,2,267,1,5
2039336203,COL,-34.784,-58.316,M,3264,,0,43,1,21
2039336207,COL,-34.772,-58.28,F,490,,0,267,8,4
2039336207,COL,-34.73,-58.504,F,2726,,0,267,8,13
2039336209,COL,-34.79,-58.308,F,1393,,0,111,4,9
2039336209,COL,-34.778,-58.32,F,1393,,0,111,4,9
2039336219,COL,-34.614,-58.786,,3923,,0,59,1,14
2039336219,COL,-34.648,-58.62,,966,,2,1,1,15
2039336219,TRE,-34.648,-58.618,,,CHECK OUT,1,144,1,15
2039336219,TRE,-34.65,-58.79,,,CHECK IN,1,144,1,15
2039336219,TRE,-34.648,-58.618,,,CHECK IN,1,144,1,20
2039336219,COL,-34.58,-58.638,,1354,,0,1,1,20
2039336219,TRE,-34.65,-58.79,,,CHECK OUT,1,144,1,21
2039336219,COL,-34.65,-58.788,,2761,,2,59,1,21
2039336230,COL,-34.708,-58.39,M,967,,1,125,4,7
2039336230,COL,-34.694,-58.434,M,3680,,0,308,4,7
2039336230,COL,-34.724,-58.26,M,4361,,0,113,4,9
2039336230,COL,-34.708,-58.27,M,1434,,0,238,4,16
2039336230,COL,-34.734,-58.272,M,3528,,1,125,4,17
2039336230,COL,-34.708,-58.392,M,1307,,2,308,4,18
2039336232,COL,-34.772,-58.23,F,200,,0,100,5,13
2039336239,COL,-34.776,-58.236,,145,,0,41,1,11
2039336239,COL,-34.808,-58.212,,3079,,1,390,1,11
2039336239,COL,-34.81,-58.228,,4521,,0,39,1,17
2039336241,COL,-34.816,-58.298,F,1859,,0,319,8,11
2039336241,COL,-34.818,-58.27,F,2093,,1,316,8,12
2039336241,COL,-34.808,-58.274,F,3166,,0,377,8,12
2039336244,COL,-34.91,-57.954,F,4004,,0,268,1,14
2039336258,COL,-34.668,-58.726,F,3514,,1,265,1,10
2039336258,COL,-34.652,-58.718,F,1470,,0,205,1,10
2039336258,COL,-34.688,-58.774,F,2587,,0,155,1,15
2039336258,COL,-34.664,-58.728,F,3242,,1,152,1,15
2039336265,COL,-34.472,-58.706,,2760,,0,94,1,5
2039336265,TRE,-34.538,-58.478,,,CHECK IN,0,196,1,15
2039336265,TRE,-34.498,-58.694,,,CHECK OUT,0,196,1,16
2039336265,COL,-34.5,-58.692,,3263,,1,94,1,16
2039336306,COL,-34.578,-58.426,,2573,,0,325,1,7
2039336306,SUB,-34.556,-58.462,,,,0,54,1,10
2039336309,COL,-34.596,-58.382,,1603,,0,182,1,19
2039336312,COL,-34.778,-58.736,,2861,,0,162,1,16
2039336312,COL,-34.752,-58.608,,3866,,2,297,1,17
2039336312,COL,-34.75,-58.704,,297,,1,312,1,17
2039336315,COL,-34.748,-58.586,,3494,,0,72,1,8
2039336319,COL,-34.844,-58.506,,1611,,0,35,1,8
2039336319,COL,-34.91,-57.956,,2124,,0,267,1,12
2039336319,COL,-34.806,-58.442,,1561,,0,270,1,14
2039336324,COL,-34.718,-58.406,F,4761,,0,153,5,8
2039336324,TRE,-34.628,-58.38,F,,CHECK IN,1,16,5,18
2039336324,COL,-34.602,-58.382,F,1693,,0,223,5,18
2039336324,TRE,-34.778,-58.396,F,,CHECK OUT,1,16,5,19
2039336324,COL,-34.776,-58.396,F,2945,,2,396,5,19
2039336324,COL,-34.758,-58.38,F,2937,,0,396,5,20
2039336331,COL,-34.806,-58.326,,785,,0,316,1,10
2039336331,COL,-34.808,-58.278,,194,,1,280,1,11
2039336336,COL,-34.712,-58.526,,2657,,0,299,1,8
2039336341,COL,-34.622,-58.448,F,1558,,0,63,5,11
2039336348,SUB,-34.642,-58.412,,,,0,220,1,8
2039336348,TRE,-34.628,-58.38,,,CHECK IN,1,16,1,15
2039336348,COL,-34.6,-58.382,,4760,,0,153,1,15
2039336348,COL,-34.804,-58.45,,2382,,2,15,1,16
2039336348,TRE,-34.804,-58.448,,,CHECK OUT,1,16,1,16
2039336353,COL,-34.626,-58.426,,631,,0,46,1,13
2039336353,COL,-34.642,-58.432,,3860,,0,374,1,16
2039336382,COL,-34.718,-58.598,,2865,,0,151,1,6
2039336382,COL,-34.75,-58.586,,4648,,0,151,1,12
2039336402,COL,-34.59,-58.958,,213,,0,370,1,6
2039336402,COL,-34.63,-58.63,,2124,,1,267,1,7
2039336402,COL,-34.756,-58.484,,4846,,0,267,1,18
2039336402,COL,-34.632,-58.63,,2112,,1,370,1,19
2039336406,COL,-34.784,-58.318,F,1228,,0,43,5,12
2039336406,COL,-34.796,-58.322,F,3353,,1,92,5,13
2039336406,COL,-34.784,-58.318,F,4185,,0,43,5,16
2039336427,COL,-34.608,-58.374,,1393,,0,101,1,19
2039336429,COL,-34.57,-58.464,,4522,,0,145,1,8
2039336429,COL,-34.656,-58.508,,1228,,0,332,1,12
2039336429,TRE,-34.568,-58.462,,,CHECK OUT SIN CHECKIN,0,49,1,18
2039336433,TRE,-34.884,-58.384,,,CHECK IN,0,16,1,3
2039336433,TRE,-34.628,-58.38,,,CHECK OUT,0,16,1,4
